Time,x,y
0,13.933,4180.0
1,13.9,4170.0
2,13.867,4160.0
3,13.833,4150.0
4,13.8,4140.0
5,13.766,4130.0
6,13.733,4120.0
7,13.7,4110.001
8,13.666,4100.001
9,13.633,4090.001
10,13.6,4080.001
11,13.566,4070.001
12,13.533,4060.001
13,13.5,4050.001
14,13.466,4040.001
15,13.433,4030.001
16,13.399,4020.001
17,13.366,4010.001
18,13.333,4000.001
19,13.299,3990.001
20,13.266,3980.001
21,13.233,3970.001
22,13.199,3960.001
23,13.166,3950.001
24,13.133,3940.001
25,13.099,3930.002
26,13.066,3920.002
27,13.032,3910.002
28,12.999,3900.002
29,12.966,3890.002
30,12.932,3880.002
31,12.899,3870.002
32,12.866,3860.002
33,12.832,3850.002
34,12.799,3840.002
35,12.765,3830.002
36,12.732,3820.002
37,12.699,3810.002
38,12.665,3800.002
39,12.632,3790.002
40,12.599,3780.002
41,12.565,3770.002
42,12.532,3760.002
43,12.499,3750.003
44,12.465,3740.003
45,12.432,3730.003
46,12.398,3720.003
47,12.365,3710.003
48,12.332,3700.003
49,12.298,3690.003
50,12.265,3680.003
51,12.232,3670.003
52,12.198,3660.003
53,12.165,3650.003
54,12.132,3640.003
55,12.098,3630.003
56,12.065,3620.003
57,12.032,3610.003
58,11.998,3600.003
59,11.965,3590.003
60,11.932,3580.003
61,11.9,3570.004
62,11.867,3560.004
63,11.834,3550.004
64,11.802,3540.004
65,11.77,3530.004
66,11.738,3520.004
67,11.706,3510.004
68,11.674,3500.004
69,11.642,3490.004
70,11.611,3480.004
71,11.58,3470.004
72,11.549,3460.004
73,11.518,3450.004
74,11.488,3440.004
75,11.458,3430.004
76,11.428,3420.004
77,11.398,3410.004
78,11.369,3400.004
79,11.34,3390.004
80,11.311,3380.004
81,11.283,3370.004
82,11.255,3360.004
83,11.227,3350.005
84,11.2,3340.005
85,11.173,3330.005
86,11.147,3320.005
87,11.121,3310.005
88,11.095,3300.005
89,11.07,3290.005
90,11.046,3280.005
91,11.022,3270.005
92,10.998,3260.005
93,10.975,3250.005
94,10.953,3240.005
95,10.931,3230.005
96,10.91,3220.005
97,10.89,3210.005
98,10.87,3200.005
99,10.851,3190.005
100,10.832,3180.005
101,10.815,3170.005
102,10.798,3160.005
103,10.781,3150.005
104,10.766,3140.005
105,10.751,3130.005
106,10.738,3120.005
107,10.724,3110.005
108,10.712,3100.005
109,10.701,3090.005
110,10.69,3080.005
111,10.681,3070.005
112,10.672,3060.005
113,10.664,3050.005
114,10.657,3040.005
115,10.651,3030.005
116,10.645,3020.005
117,10.641,3010.005
118,10.637,3000.005
119,10.634,2990.005
120,10.632,2980.005
121,10.63,2970.005
122,10.63,2960.005
123,10.63,2950.005
124,10.63,2940.005
125,10.632,2930.005
126,10.634,2920.005
127,10.636,2910.005
128,10.639,2900.005
129,10.642,2890.005
130,10.646,2880.005
131,10.649,2870.005
132,10.654,2860.005
133,10.658,2850.005
134,10.662,2840.005
135,10.666,2830.005
136,10.671,2820.005
137,10.675,2810.005
138,10.678,2800.005
139,10.682,2790.005
140,10.684,2780.005
141,10.687,2770.005
142,10.688,2760.005
143,10.69,2750.005
144,10.69,2740.005
145,10.69,2730.005
146,10.688,2720.005
147,10.686,2710.005
148,10.683,2700.005
149,10.679,2690.005
150,10.673,2680.005
151,10.667,2670.005
152,10.66,2660.005
153,10.651,2650.005
154,10.641,2640.005
155,10.63,2630.005
156,10.617,2620.005
157,10.603,2610.005
158,10.588,2600.005
159,10.571,2590.005
160,10.553,2580.005
161,10.534,2570.005
162,10.513,2560.005
163,10.491,2550.005
164,10.468,2540.005
165,10.443,2530.005
166,10.417,2520.005
167,10.389,2510.005
168,10.36,2500.005
169,10.33,2490.005
170,10.298,2480.006
171,10.265,2470.006
172,10.23,2460.006
173,10.195,2450.006
174,10.157,2440.006
175,10.119,2430.006
176,10.079,2420.006
177,10.038,2410.006
178,9.996,2400.006
179,9.952,2390.006
180,9.907,2380.006
181,9.861,2370.006
182,9.813,2360.007
183,9.764,2350.007
184,9.714,2340.007
185,9.663,2330.007
186,9.611,2320.007
187,9.557,2310.007
188,9.502,2300.007
189,9.446,2290.008
190,9.389,2280.008
191,9.33,2270.008
192,9.271,2260.008
193,9.21,2250.008
194,9.148,2240.008
195,9.085,2230.009
196,9.021,2220.009
197,8.957,2210.009
198,8.891,2200.009
199,8.824,2190.009
200,8.756,2180.01
201,8.687,2170.01
202,8.618,2160.01
203,8.548,2150.01
204,8.477,2140.011
205,8.405,2130.011
206,8.332,2120.011
207,8.26,2110.011
208,8.186,2100.012
209,8.112,2090.012
210,8.038,2080.012
211,7.964,2070.013
212,7.889,2060.013
