Time,Rad_Ang,Velo
0,-20.0,0.0
1,-20.0,6.01
2,-20.0,11.62
3,-20.0,16.84
4,-20.0,21.68
5,-20.0,26.16
6,-20.0,30.29
7,-20.0,34.1
8,-20.0,37.62
9,-20.0,40.87
10,-20.0,43.87
11,-20.0,46.64
12,-20.0,49.21
13,-20.0,51.58
14,-20.0,53.78
15,-20.0,55.81
16,-20.0,57.68
17,-20.0,59.39
18,-20.0,60.94
19,-20.0,62.33
20,-20.0,63.57
21,-20.0,64.64
22,-20.0,65.55
23,-20.0,66.28
24,-20.0,66.85
25,-20.0,67.24
26,-20.0,67.47
27,-20.0,67.54
28,-20.0,67.46
29,-20.0,67.24
30,-20.0,66.9
31,-20.0,66.46
32,-20.0,65.93
33,-20.0,65.33
34,-20.0,64.68
35,-20.0,64.0
36,-20.0,63.31
37,-20.0,62.61
38,-20.0,61.93
39,-20.0,61.28
40,-20.0,60.66
41,-20.0,60.09
42,-20.0,59.56
43,-20.0,59.09
44,-20.0,58.67
45,-20.0,58.32
46,-20.0,58.02
47,-20.0,57.78
48,-20.0,57.61
49,-20.0,57.45
50,-20.0,57.12
51,-20.0,56.67
52,-20.0,56.12
53,-20.0,55.52
54,-20.0,54.89
55,-20.0,54.25
56,-20.0,53.62
57,-20.0,53.01
58,-20.0,52.43
59,-20.0,51.9
60,-20.0,51.41
61,-20.0,50.98
62,-20.0,50.59
63,-20.0,50.26
64,-18.5,49.99
65,-15.6,49.87
66,-13.0,50.0
67,-10.5,50.3
68,-8.2,50.74
69,-6.1,51.28
70,-4.1,51.9
71,-2.4,52.58
72,-0.9,53.29
73,0.5,54.03
74,1.6,54.72
75,2.5,55.27
76,3.3,55.69
77,3.9,56.02
78,4.5,56.26
79,4.8,56.44
80,5.2,56.56
81,5.5,56.64
82,5.7,56.68
83,5.9,56.7
84,6.1,56.69
85,6.2,56.66
86,6.3,56.62
87,6.4,56.58
88,6.5,56.52
89,6.6,56.46
90,6.7,56.39
91,6.7,56.33
92,6.8,56.26
93,6.8,56.2
94,6.8,56.14
95,6.8,56.09
96,6.8,56.04
97,6.8,55.99
98,6.8,55.95
99,6.8,55.92
100,6.8,55.9
101,6.8,55.88
102,6.7,55.87
103,6.7,55.88
104,6.6,55.89
105,6.5,55.91
106,6.4,55.95
107,6.3,56.0
108,6.2,56.06
109,6.1,56.13
110,6.0,56.21
111,5.9,56.31
112,5.7,56.42
113,5.6,56.54
114,5.4,56.67
115,5.3,56.82
116,5.1,56.98
117,5.0,57.14
118,4.8,57.32
119,4.6,57.51
120,4.5,57.71
121,4.3,57.93
122,4.1,58.15
123,4.0,58.37
124,3.8,58.61
125,3.6,58.86
126,3.5,59.11
127,3.3,59.37
128,3.1,59.63
129,3.0,59.9
130,2.8,60.17
131,2.7,60.44
132,2.5,60.72
133,2.4,60.99
134,2.3,61.26
135,2.2,61.54
136,2.1,61.8
137,2.0,62.07
138,1.9,62.33
139,1.8,62.59
140,1.7,62.84
141,1.6,63.09
142,1.5,63.33
143,1.5,63.56
144,1.4,63.79
145,1.4,64.02
146,1.3,64.23
147,1.3,64.44
148,1.2,64.64
149,1.2,64.84
150,1.2,65.03
151,1.1,65.21
152,1.1,65.39
153,1.1,65.55
154,1.0,65.72
155,1.0,65.88
156,1.0,66.03
157,0.9,66.18
158,0.9,66.33
159,0.8,66.48
160,0.8,66.63
161,0.8,66.77
162,0.7,66.91
163,0.7,67.05
164,0.7,67.18
165,0.6,67.32
166,0.6,67.45
167,0.5,67.58
168,0.5,67.7
169,0.5,67.83
170,0.4,67.95
171,0.4,68.07
172,0.4,68.19
173,0.3,68.3
174,0.3,68.42
175,0.3,68.53
176,0.2,68.63
177,0.2,68.74
178,0.2,68.83
179,0.2,68.93
180,0.2,69.02
181,0.2,69.1
