Time,TS1_CRIW,TS2_CRIW,TS3_CRIW,TS4_CRIW,TS5_CRIW
1,0.003,0.002,0.002,0.158,0.004
1,0.003,0.002,0.002,0.158,0.004
1,0.003,0.002,0.002,0.158,0.004
2,0.003,0.002,0.002,0.158,0.004
3,0.003,0.002,0.002,0.158,0.004
4,0.003,0.002,0.002,0.158,0.004
5,0.003,0.002,0.002,0.158,0.004
6,0.003,0.002,0.002,0.158,0.004
7,0.003,0.002,0.002,0.158,0.004
8,0.003,0.002,0.002,0.158,0.004
9,0.003,0.002,0.002,0.158,0.004
10,0.003,0.002,0.002,0.158,0.004
11,0.003,0.002,0.002,0.158,0.004
12,0.003,0.002,0.002,0.158,0.004
13,0.003,0.002,0.002,0.158,0.004
14,0.003,0.156,0.002,0.158,0.004
15,0.003,0.156,0.002,0.158,0.004
16,0.003,0.156,0.002,0.158,0.004
17,0.003,0.156,0.002,0.158,0.004
18,0.003,0.156,0.002,0.158,0.004
19,0.003,0.156,0.002,0.158,0.004
20,0.003,0.156,0.002,0.158,0.004
21,0.003,0.156,0.002,0.158,0.004
22,0.003,0.156,0.002,0.158,0.004
23,0.003,0.156,0.002,0.158,0.004
24,0.003,0.156,0.002,0.157,0.004
25,0.003,0.156,0.002,0.157,0.004
26,0.003,0.156,0.002,0.157,0.004
27,0.003,0.156,0.002,0.157,0.004
28,0.003,0.157,0.002,0.157,0.004
29,0.003,0.157,0.002,0.157,0.004
30,0.003,0.157,0.002,0.004,0.004
31,0.003,0.157,0.002,0.004,0.004
32,0.003,0.157,0.002,0.004,0.004
33,0.003,0.157,0.002,0.004,0.004
34,0.003,0.157,0.002,0.004,0.004
35,0.003,0.157,0.002,0.004,0.004
36,0.003,0.157,0.002,0.004,0.004
37,0.003,0.157,0.002,0.004,0.004
38,0.003,0.157,0.002,0.004,0.004
39,0.003,0.158,0.002,0.004,0.004
40,0.003,0.158,0.002,0.004,0.004
41,0.003,0.158,0.002,0.004,0.004
42,0.003,0.158,0.002,0.004,0.004
43,0.003,0.158,0.002,0.004,0.004
44,0.003,0.158,0.002,0.004,0.004
45,0.003,0.158,0.002,0.004,0.004
46,0.003,0.158,0.002,0.004,0.004
47,0.003,0.158,0.002,0.004,0.004
48,0.003,0.158,0.002,0.004,0.004
49,0.003,0.158,0.002,0.004,0.004
50,0.003,0.158,0.002,0.004,0.004
51,0.003,0.158,0.002,0.004,0.004
52,0.003,0.158,0.002,0.004,0.004
53,0.003,0.158,0.002,0.004,0.004
54,0.003,0.158,0.002,0.004,0.004
