Time,T1_Alpha_OT,T1_Distance,T1_Speed,T2_Alpha_OT,T2_Distance,T2_Speed,T3_Alpha_OT,T3_Distance,T3_Speed,T4_Alpha_OT,T4_Distance,T4_Speed,T5_Alpha_OT,T5_Distance,T5_Speed
70,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
71,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
72,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
73,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
1,178.775,2.159,0.882,294.659,1.518,0.702,292.24,1.094,0.718,335.107,1.431,0.781,313.447,1.633,0.543
74,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
1,178.775,2.159,0.882,294.659,1.518,0.702,292.24,1.094,0.718,335.107,1.431,0.781,313.447,1.633,0.543
75,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
76,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
77,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
78,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
79,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
80,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
81,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
82,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
83,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
84,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
